Date;Plat
2011-07-28;liegeois
2011-07-29;Epinards
2011-07-29;Riz
2011-07-29;Tomme blanche
2011-08-04;Rôti de dinde
2011-08-04;Brocolis à la crème
2011-08-04;Banane
2011-08-09;Carottes à la crème
2011-08-09;Pêche
2011-08-10;Gaspacho
2011-08-22;Liégeois
2011-08-24;Yaourt bio
2011-08-26;Poisson pané
2011-08-26;St Bricte
2011-09-02;GRANDS MENAGES
2011-09-07;marmelade de pommes
2011-09-07;Eclair chocolat
2011-09-14;Choux rouges bio
2011-09-15;Edam
2011-09-15;tarte aux pommes
2011-09-16;sauce crème comexo
2011-09-16;Pommes rissolées
2011-09-19;betteraves en des
2011-09-19;rôti de veau farci
2011-09-23;raisin
2011-09-26;Rillettes de thon/citron
2011-09-27;beignet choco
2011-09-28;Concombres
2011-09-30;carottes râpées bio
2011-10-04;Poire
2011-10-05;surimi en miette
2011-10-05;tarte pommes
2011-10-07;Poisson meunière
2011-10-07;fge blanc / spéculoos
2011-10-14;quinoa
2011-10-14;tomate concombre
2011-10-18;Choux fleurs agro
2011-10-19;Camembert
2011-10-19;Raisin
2011-10-21;Carottes surgelées
2011-10-26;Salade verte
2011-10-27;Poulet fermier ( morceau/10)
2011-10-28;Lieu marmite du Peray
2011-11-03;Gervais maxi fraise
2011-11-04;Poisson pané/citron
2011-11-04;Ananas
2011-11-07;Yaourt bio
2011-11-09;betteraves en dés
2011-11-10;riz au lait maison
2011-11-16;St Nectaire
2011-11-22;haricots verts
2011-11-23;chili con carné
2011-11-24;chx fleurs becha agro
2011-11-25;salade verte
2011-11-25;poisson pané
2011-11-30;Radis
2011-12-01;miette de thon
2011-12-01;coquillettes
2011-12-07;parmentier de poisson maison
2011-12-07;Clémentines
2011-12-09;palet brocolis/carottes
2011-12-09;Pomme
2011-12-12;Sot l'y laisse de dinde
2011-12-13;abricots secs
2011-12-15;repas greves
2011-12-16;Champanet
2011-12-16;Banane
2011-12-19;Sauté de porc Chasseur
2011-12-22;Salade marine de noel
2011-12-22;purée de carottes
2011-12-23;riz
2011-12-26;parmentier de poisson maison
2011-12-28;sauté de bœuf Dijonnaise
2011-12-29;rôti de dinde
2011-12-30;suisse aro
2012-01-02;Poisson meunière
2012-01-03;Potage tomate
2012-01-03;hachis parmentier
2012-01-06;Batonnière de légumes agro
2012-01-10;Clémentines
2012-01-11;Filet de surgelés poisson sauce crustacés
2012-01-12;jus de veau
2012-01-17;Rôti de porc
2012-01-18;semoule
2012-01-20;sauce creme
2012-01-20;Gervais aro
2012-01-23;Emincé de dinde
2012-01-23;Riz cantonnais
2012-01-26;Rôti de bœuf
2012-01-26;Haricots verts
2012-02-02;Sauté de dinde moutarde
2012-02-03;Pommes de terre sautées agro
2012-02-06;Pizza
2012-02-06;poulet confit
2012-02-08;poisson surgelee
2012-02-08;Chèvre
2012-02-10;Banane
2012-02-13;Salade coleslaw
2012-02-14;jambon fumée
2012-02-15;Salade
2012-02-15;et abricots secs
2012-02-17;Camembert
2012-02-17;Kiwi
2012-02-21;Clémentines
2012-02-23;Rillettes de thon
2012-02-24;riz au lait maison
2012-02-27;flan chocolat
2012-03-02;tome bio
2012-03-06;sauté de bœuf
2012-03-07;Escalope de dinde au jus
2012-03-07;Brocolis à la provençale
2012-03-08;boudin noir
2012-03-12;riz
2012-03-12;yaourt Bio
2012-03-13;des de mimolettes
2012-03-13;curry de dinde
2012-03-15;Carottes râpées
2012-03-15;cordon bleu de volaille
2012-03-16;radis / beurre
2012-03-16;Liégeois chocolat
2012-03-20;Haricots beurre
2012-03-22;gruyère rapés
2012-03-27;Pomme
2012-03-29;Eclair chocolat
2012-03-30;carottes râpées
2012-03-30;filet de lieu sauce marmite du perray
2012-03-30;RIZ
2012-04-02;sauté de dinde Niçoise
2012-04-03;petits pois
2012-04-04;St nectaire
2012-04-11;Radis / beurre
2012-04-11;Salade verte
2012-04-18;Jambon fumé
2012-04-19;Suisses aro
2012-04-27;Chanteneige
2012-04-30;Saucisse de Toulouse
2012-05-09;Gruyère
2012-05-10;Banane
2012-05-15;Cocktail de fruits
2012-05-16;chipolata/merguez
2012-05-22;petits pois
2012-05-23;Haricots verts
2012-05-24;Jambon fumé/bl de dinde
2012-05-25;poisson frais
2012-05-25;sauce beurre blanc
2012-05-25;Camembert
2012-05-28;Pentecôte
2012-05-30;poisson surgelé
2012-05-30;sauce Printanière
2012-06-01;Filet de poisson meunière
2012-06-05;melon
2012-06-06;riz pilaf
2012-06-11;salade aux dés de gruyère
2012-06-11;saucisse de toulouse grillée
2012-06-14;Flan caramel
2012-06-15;ratatouille cuisinée
2012-06-19;Pâté de foie bio/cornichons
2012-06-19;St Paulin
2012-06-20;navarin de mouton
2012-06-21;Rôti de porc au jus
2012-06-25;Betteraves (stock) au gruyère
2012-06-27;Marmelade de pommes
2012-06-29;H. beurre et plat
2012-07-03;radis/beurre
2012-07-03;tarte aux pommes
2012-07-05;cerises
2012-07-06;fraises
2012-07-09;Timbale de pâtes au jambon
2012-07-11;brocolis Provençal
2012-07-11;St Paulin
2012-07-17;rôti de dinde
2012-07-17;Camembert
2012-07-18;abricots
2012-07-20;pomme vapeur
2012-07-24;Saucisse de Toulouse
2012-07-25;Pommes de terre au thon
2012-07-25;Tomme noire
2012-07-27;nectarine
2012-07-30;Choux rouges BIO
2012-07-31;Pâtes à la bolognaise
2012-08-06;Ile flottante
2012-08-14;Salsifis béchamel
2012-08-17;Choux blancs mimolette
2012-08-17;pomme vapeur
2012-08-23;Pastèque
2012-08-27;Sauté de boeuf
2012-08-27;Riz
2012-08-27;Suisses aro
2012-08-30;Pâté de volaille
2012-08-31;poisson Meunière
2012-08-31;Pommes rissolées
2012-08-31;Crème vanille
2012-09-04;Prune reine-claude
2012-09-07;madeleine
2012-09-11;Tarte au fromage
2012-09-11;Haricots verts
2012-09-12;Poulet rôti
2012-09-12;Salsifis
2012-09-13;fromage blanc / abricots secs
2012-09-17;radis / beurre
2012-09-18;Eclair chocolat
2012-09-19;Tagliatelles
2012-09-21;Melon
2012-09-26;Jambon fumé
2012-09-26;entrammes en 240gr
2012-09-26;Pomme
2012-09-28;clafoutis de poireaux
2012-10-03;Sauté de bœuf Bourguignon
2012-10-04;Gâteau aux pépites de chocolat
2012-10-08;crème chocolat
2012-10-11;Emincé de dinde dijonnaise
2012-10-12;Salade de blé bio (Blé bio, tomates, maïs)
2012-10-16;Salade de pâtes aux tomates confites
2012-10-16;j de dinde
2012-10-16;Pomme bio
2012-10-18;Choux blancs bio à la mimolette
2012-10-24;Pizza au fromage
2012-10-30;Pomme
2012-10-31;Pommes vapeur
2012-11-15;Haricots verts
2012-11-15;Crème de gruyère
2012-11-16;Courgettes à la tomate
2012-11-19;Bâtonnière de légumes
2012-11-19;Poire
2012-11-22;Concombres vinaigrette
2012-11-26;Suisses aro
2012-11-27;Pizza
2012-11-30;Mâche aux noix
2012-12-04;tarte au fromage
2012-12-06;Choux rouges bio
2012-12-11;Concombres
2012-12-12;Paëlla au poisson
2012-12-13;Banane
2012-12-14;Parmentier de poisson
2012-12-14;Yaourt aro
2012-12-17;Dés de betteraves
2012-12-19;potage tomate/vermicelle
2012-12-21;Poire
2012-12-27;PA de mardi
2012-12-27;banane
2012-12-28;Kiwi bio
2013-01-02;Haricots verts
2013-01-04;Nuggets de poisson
2013-01-08;carottes beurre provençal
2013-01-15;Frites
2013-09-04;Concombres
2013-09-05;Haricots verts
2013-09-06;tarte au citron Boncolac
2013-09-10;greves
2013-09-16;Pastèque
2013-09-16;Pilon de poulet
2013-09-19;mogettes
2013-09-20;Raisin
2013-09-26;Fromage bio
2013-09-27;poisson Meunière
2013-09-27;Purée de légumes verts
2013-09-27;Prunes
2013-09-30;Poêlée de légumes au cumin
2013-10-03;sauce au poivre
2013-10-08;merguez
2013-10-11;Brocolis Provençal
2013-10-11;Chanteneige
2013-10-14;Sauté de dinde sauce au miel
2013-10-15;Nuggets de volaille+ketchup
2013-10-23;rôti de porc au jus
2013-10-23;Haricots beurre
2013-10-24;petits pois
2013-10-24;Beignet aux pommes
2013-10-25;Ananas
2013-10-28;Choux rouges bio
2013-10-28;et gruyère râpé
2013-10-29;terre à l'assiette
2013-10-30;Rôti de bœuf +jus
2013-10-30;ratatouille
2013-11-05;St paulin
2013-11-07;Sauté de bœuf
2013-11-12;Blanquette de veau
2013-11-12;Yaourt aro
2013-11-20;Carottes râpées bio
2013-11-20;Tarte aux pommes
2013-11-25;Choux Bruxelles Educalim
2013-11-26;Carottes
2013-11-26;Tomme noire
2013-11-27;Riz
2013-11-28;Concombres
2013-11-29;Choux raves bio
2013-11-29;Purée de pommes de terre
2013-12-05;repas grève
2013-12-06;Brocolis béchamel
2013-12-10;Salade verte
2013-12-12;Gouda
2013-12-16;Choux fleurs bécha agro
2013-12-16;emmental 220gr
2013-12-16;Clémentines
2013-12-19;sapin de noel
2013-12-20;Crêpe au fromage
2013-12-20;Cassolette de poisson
2013-12-23;carottes à la crème
2013-12-23;Edam
2013-12-26;Pommes duchesse
2013-12-31;Fromage blanc
2014-01-02;Carottes, poireaux, navet
2014-01-03;Camembert
2014-01-08;coquillettes et râpé
2014-01-10;Epinards à la crème
2014-01-14;filet de poisson
2014-01-15;Crème de gruyère
2014-01-20;et gruyère râpé
2014-01-28;Rôti de dinde au jus
2014-01-29;Gâteau au chocolat Catel Roc
2014-01-31;Salade de fruits exotiques
2014-02-03;Choux fleurs au gratin
2014-02-04;Orange
2014-02-06;Timbale de pâtes au jambon
2014-02-07;Betteraves en cube
2014-02-07;ananas
2014-02-10;Fromage bio
2014-02-12;Chèvre
2014-02-13;Eclair chocolat
2014-02-14;Potage carottes
2014-02-14;St paulin
2014-02-17;dinde
2014-02-17;Orange
2014-02-21;Gratinée de légumes
2014-02-21;Kiwi bio
2014-02-24;Lasagnes
2014-03-03;Pomme
2014-03-04;Rillettes de thon
2014-03-04;salade verte
2014-03-05;Banane
2014-03-13;Taboulé
2014-03-13;Brocolis
2014-03-13;Orange
2014-03-20;Camembert
2014-03-26;Crème de gruyère Président
2014-03-27;Blanquette de veau
2014-03-28;Crêpe au fromage
2014-03-28;Omelettte
2014-03-28;Orange
2014-03-31;Pâtes à la bolognaise
2014-04-01;et pommes de terre (observation educalim sans
2014-04-01;pesée)
2014-04-02;Demi-pamplemousse
2014-04-03;Edam
2014-04-04;Camembert
2014-04-07;marmelade de pommes
2014-04-08;Choux blancs à la mimolette
2014-04-08;Frites
2014-04-08;Cocktail de fruits au sirop
2014-04-11;œufs durs
2014-04-11;chili
2014-04-11;Fromage bio
2014-04-18;Choux rouges bio
2014-04-18;Poisson beurre blanc (frais)
2014-04-22;Sauté de porc Niçois
2014-04-22;Compote bio
2014-04-23;Grignottes de poulet/moutarde
2014-04-24;PA lundi
2014-04-24;ssauce tagine
2014-04-24;Banane
2014-04-29;jambon dinde
2014-05-12;PA jeudi
2014-05-12;yaourt aromatisé
2014-05-13;Tarte au fromage
2014-05-13;Gouda
2014-05-14;Marmelade de pommes
2014-05-15;repas grève
2014-05-16;Riz basmati
2014-05-19;choux bruxelles educalim
2014-05-20;Purée de légumes verts
2014-05-20;Mimolette
2014-05-21;Choux rouges
2014-05-21;Ananas
2014-05-23;Poisson sauce beurre blanc
2014-05-26;salade douceur / surimi
2014-05-26;Pâtes à la bolognaise (Collet)
2014-06-02;salade
2014-06-03;Tarte grillée aux pommes
2014-06-10;Tarte au fromage
2014-06-11;ketchup
2014-06-13;Poisson beurre blanc
2014-06-16;Poêlée victoria
2014-06-17;tarte abricots framboise
2014-06-18;abricot
2014-06-19;Sauté de veau aux agrumes
2014-06-23;Sauté de porc chasseur
2014-06-23;Palets brocolis/carottes
2014-06-23;Gâteau au fromage blanc Le Ster
2014-06-26;Pastèque
2014-06-27;Marmite du Perray
2014-06-30;Raviolis
2014-07-01;Betteraves (stock) aux dés de chèvre
2014-07-04;Melon
2014-07-09;Tomme noire
2014-07-10;Pastèque
2014-07-17;Chèvre
2014-07-18;St Paulin
2014-07-25;Suisses aro
2014-07-29;Tarte citron
2014-08-04;raviolis 5/1
2014-08-04;fromage râpé
2014-08-05;légumes couscous
2014-08-08;galets brocoli/ carottes
2014-08-08;Banane
2014-08-11;1/2 œuf
2014-08-12;Carottes
2014-08-13;Concombres
2014-08-14;Epinards
2014-08-19;Poisson sce niçoise
2014-08-21;Fricassée de poulet SDA
2014-08-21;Haricots verts
2014-08-26;Rôti de porc
2014-08-27;Boulettes de bœuf
2014-08-28;Paupiette de volaille
2014-08-28;Salsifis
2014-08-29;dés de betteraves
2014-08-29;Poisson meunière
2014-09-08;Légumes poêlés et potatoes
2014-09-09;Salsifis provençal
2014-09-16;Rôti de porc
2014-09-16;jus de veau
2014-09-16;purée de p de terre
2014-09-22;Haché de poulet
2014-09-24;Pain perdu
2014-09-25;Marmelade de pommes bio
2014-09-29;Pilon de poulet
2014-10-06;Semoule
2014-10-07;jus de veau
2014-10-10;Poisson sauce normande
2014-10-10;Crème de gruyère
2014-10-14;Mâche à la mimolette
2014-10-14;mimolette
2014-10-14;ratatouille confite
2014-10-15;petits pois 5/2
2014-10-15;Compote po/châtaignes
2014-10-17;PA mardi
2014-10-17;Crème dessert chocolat bio
2014-10-21;Saucisses Toulouse Bio
2014-10-23;Haricots beurre
2014-10-27;Taboulé (semoule bio)
2014-10-29;Fondant chocolat
2014-11-03;Radis
2014-11-07;Filet de lieu frais
2014-11-07;Poire
2014-11-12;Suisses aro
2014-11-13;Chou rave bio
2014-11-14;fondant de haricots verts
2014-11-14;carre frais
2014-11-17;palet de brocolis / carottes
2014-11-18;Concombres
2014-11-24;Carottes râpées bio
2014-11-24;Suisses aromatisés
2014-11-27;Marmelade de pommes
2014-12-01;Haricots verts SMR
2014-12-02;Petits poisson panés
2014-12-02;Kiwi
2014-12-10;Filet de poisson sauce niçoise
2014-12-11;Fromage blanc / miel
2014-12-15;Yaourt aromatisé
2014-12-16;haricots verts
2014-12-16;Chevretine Président
2014-12-18;terrine d'avocat et crabe
2014-12-18;Curry de pintade au lait de coco
2014-12-18;fondant chocolat
2014-12-19;Crêpe au fromage
2014-12-23;rôti de porc
2014-12-23;poelée Victoria
2014-12-30;riz au lait
2015-01-02;Colin d'Alaska meunière 70g (Halieutis)
2015-01-09;Epinards
2015-01-14;jus de veau
2015-01-14;purée d'artichaut D'Aucy
2015-01-14;Galette des rois pépites choco
2015-01-16;Riz basmati
2015-01-19;Lait bio
2015-01-26;Potage potiron
2015-01-28;demi-pomelos
2015-01-28;saucisse de volaille bio
2015-01-29;Fromage blanc
2015-01-30;Crème de gruyère
2015-02-02;jambon fumé
2015-02-02;St paulin
2015-02-03;aux dés de chèvre (Tomate, concombres, dés de chèvre)
2015-02-05;timbale de pâtes porc
2015-02-10;Palets volaille Nature et terroir
2015-02-11;Pommes vapeur bio Aria??
2015-02-12;Chanteneige
2015-02-12;Banane
2015-02-17;Potage légumes + croûtons
2015-02-17;Poisson sauce beurre blanc
2015-02-19;Rôti de bœuf Terre à l'assiette
2015-02-19;Frites
2015-02-25;Semoule
2015-03-02;salade coleslaw
2015-03-09;Poêlée ratatouille Bonduelle
2015-03-11;Haricots beurre
2015-03-11;Compote pomme framboise
2015-03-13;Gratinée de légumes
2015-03-17;Choux blanc mimolette
2015-03-18;Sauté de veau aigre doux
2015-03-19;Paupiette de dinde (fraîche)
2015-03-20;Journée internationale sans viande
2015-03-27;Galettes végétale
2015-03-30;Pamplemousse
2015-03-30;Poulet  d'Ancenis
2015-03-30;Lait bio
2015-04-08;Kiwi Bio
2015-04-10;Banane
2015-04-20;Pâté bio
2015-04-24;Epinards
2015-04-27;Choux fleurs au gratin
2015-04-27;Edam
2015-04-30;Yaourt fermier bio
2015-05-04;Œufs durs
2015-05-06;Radis / beurre
2015-05-12;Yaourt aromatisé
2015-05-19;Omelette
2015-05-22;Epinards
2015-05-26;Melon
2015-05-27;Rôti de dinde
2015-05-28;Banane
2015-05-29;Galettes végétales
2015-05-29;Riz basmati
2015-05-29;Suisses aromatisés
2015-06-02;Tarte au fromage
2015-06-03;Liégeois choco
2015-06-04;Yaourt fermier bio
2015-06-05;Salade
2015-06-05;Fruit de saison
2015-06-09;Rôti de dinde au jus
2015-06-11;Haricots verts coupés 5/1D'Aucy
2015-06-12;St Nectaire
2015-06-17;Nems au curry
2015-06-18;Batonnets de carottes
2015-06-19;Morbier
2015-06-25;Crêpe au fromage
2015-06-25;Brocolis
2015-06-25;Gruyère
2015-06-29;betteraves 5/1 (stock)
2015-07-01;Riz au lait maison
2015-07-02;Compote 5/1 (stock)
2015-07-03;Salade composée au saumon
2015-07-03;Chanteneige
2015-07-08;Mimolette
2015-07-08;Tarte normande aux pommes
2015-07-09;Fromage blanc
2015-07-10;Salade verte au thon
2015-07-10;Ketchup
2015-07-10;Dessert au soja mangue/abricot
2015-07-17;Camembert
2015-07-20;Salade verte
2015-07-21;Salade de tomates
2015-07-21;Yaourt aromatisé
2015-07-23;et gruyère râpé
2015-07-24;Poisson beurre blanc
2015-08-04;Yaourt aro
2015-08-05;Choux rouges vgte
2015-08-05;Rôti de bœuf
2015-08-05;Purée de pdt
2015-08-10;Tarte au fromage
2015-08-10;Brocolis
2015-08-12;Camembert
2015-08-25;Compote
2015-08-27;Fruit
2015-08-28;Crème de gruyère
2015-09-01;reprise scolaire
2015-09-01;Radis/beurre
2015-09-01;pomme de terre Smile
2015-09-01;Crème dessert vanille
2015-09-02;jambon fumée
2015-09-03;haricots verts
2015-09-03;Port Salut
2015-09-04;filet de poisson sauce normande
2015-09-07;Confit de poulet
2015-09-07;Raisin Chasselas
2015-09-09;Poulet Terre à l'assiette
2015-09-09;carottes au cumin
2015-09-11;omelette
2015-09-11;Eclair chocolat
2015-09-11;plateau de fromage
2015-09-14;Pastèque
2015-09-15;Choux rouges au gruyère
2015-09-15;Chili de bœuf
2015-09-16;Chanteneige
2015-09-21;Flan caramel
2015-09-22;Nuggets de poisson
2015-09-22;Raisin
2015-09-29;Pizza au fromage
2015-09-30;CCAS : poisson frais
2015-10-09;Putée 3 légumes
2015-10-09;Banane
2015-10-09;légumes pot au feu
2015-10-16;gruyere
2015-10-20;Frites
2015-10-22;Haricots verts
2015-10-22;Chanteneige
2015-10-23;Riz
2015-10-27;Carottes
2015-10-28;Tomme des Pyrénées
2015-10-29;Rôti de bœuf Terre à l'assiette
2015-10-29;Ecrasée de p de terre
2015-10-30;filet de poisson
2015-10-30;poelée de légumes
2015-11-05;Potage potiron / croûton
2015-11-06;râble de lapin aux herbes
2015-11-09;Poulet confit
2015-11-13;sauté d'agneau
2015-11-13;jardinière de légumes
2015-11-17;ketchup
2015-11-19;Saucisse de Toulouse bio
2015-11-20;hachis parmentier maison
2015-11-24;Radis/beurre
2015-11-25;Tortillas
2015-11-26;Gratin de choux fleurs
2015-11-27;Crêpe au fromage
2015-12-01;Poisson à la niçoise
2015-12-02;Haricots beurre
2015-12-02;Crème de gruyère
2015-12-07;Paëlla au poulet
2015-12-07;et fruits de mer
2015-12-08;Flan choco
2015-12-09;céleri rémoulade bio
2015-12-15;Tomme Belle de Nantes
2015-12-17;Potatoes Wedg Skin
2015-12-18;REPAS POUR LA PLANETE
2015-12-22;Potage tomate/vermicelle
2015-12-23;Salade verte / demi-oeuf
2015-12-24;Salade de Noël
2015-12-24;pommes duchesses
2016-01-04;Oeufs durs mayo
2016-01-04;Salade de mâche
2016-01-05;Gervais maxi fraise
2016-01-06;Blanquette de veau
2016-01-07;Clémentines
2016-01-08;Galette des rois avec chocolat
2016-01-11;Banane
2016-01-13;jus de veau
2016-01-13;Tomme Blanche
2016-01-13;Galette des rois
2016-01-18;Haché de poulet
2016-01-19;Salade de lentilles bio (Lentilles bio,maïs, surimi)
2016-01-28;Carottes râpées bio
2016-01-28;Choux fleurs au gratin ( agro)
2016-02-09;Rôti de porc
2016-02-09;Kiwi bio
2016-02-17;Saucisse Toulouse Bio
2016-02-17;marmelade de pommes
2016-02-17;Gâteau au yaourt
2016-02-23;sauce poivre
2016-03-02;Gouda
2016-03-07;chili de bœuf Socopa BBC
2016-03-07;riz basmati
2016-03-08;Rôti de porc
2016-03-09;Rillettes de thon
2016-03-09;Crème anglaise/biscuit
2016-03-10;Tomme noire
2016-03-11;Flan de poireaux / carottes bio
2016-03-14;Pizza
2016-03-14;Edam
2016-03-15;Cassolette de poisson
2016-03-16;St Nectaire
2016-03-17;Fromage blanc / abricot sec
2016-03-18;sauce tomate
2016-03-23;Macédoine mayonnaise
2016-03-31;Rillettes de thon indiv
2016-03-31;Raviolis 5/1
2016-04-01;Tarte au fromage
2016-04-06;Sauté de veau aux agrumes
2016-04-07;Banane
2016-04-08;Tarte normande aux pommes
2016-04-13;Concombres
2016-04-13;Riz au lait bio
2016-04-18;Paëlla
2016-04-19;Rôti de bœuf au jus
2016-04-20;Tagliatelles
2016-04-22;Poisson en sauce Nicoise
2016-04-25;Pâtes à la Bolognaise avec égrené BBC
2016-04-26;Compote bio Manger bio
2016-04-28;Créme
2016-05-03;Macédoine mayonnaise
2016-05-04;Emincé de dinde Chinoise
2016-05-23;Tarte normande aux pommes
2016-05-24;Roulé au fromage
2016-05-24;Poêlée rustique
2016-05-25;Salade de fruits frais
2016-05-26;Tomates /surimi
2016-05-27;Betteraves
2016-05-30;Yaourt aromatisé
2016-05-31;Tagine de dinde
2016-06-03;Epinards
2016-06-17;tarte abricots
2016-06-21;Petits pané de poisson
2016-06-21;Banane
2016-06-23;Lasagnes
2016-06-29;Tagliatelles au saumon
2016-07-04;Abricots
2016-07-07;Melon
2016-07-07;Sauté de bœuf
2016-07-07;Edam Mimolette
2016-07-08;Poisson meunière
2016-07-18;Melon
2016-07-18;Coulis à la fraise
2016-07-20;Carottes bio
2016-07-21;Petits pois
2016-07-22;Sojasun citron
2016-07-26;Compote po/framboise
2016-07-28;Chèvre
2016-07-29;Suisses aromatisés
2016-08-01;Salade/demi-oeuf
2016-08-02;Betteraves au chèvre
2016-08-03;Salade de tomates
2016-08-03;Yaourt aromatisé
2016-08-05;Salade sombrero
2016-08-05;Poisson meunière
2016-08-09;Radis/beurre
2016-08-10;Pomme noisettes
2016-08-12;Fromage vache/brebis
2016-08-12;Tarte citron
2016-08-16;Cocktail de fruits au sirop
2016-08-19;Galette tomate/basilic
2016-08-24;Poisson beurre blanc
2016-08-24;Fruit de saison
2016-08-26;Parmentier de poisson
2016-08-29;Raviolis de légumes ???
2016-08-30;Crêpe tomate/mozzarella
2016-08-30;Yaourt nature
2016-09-01;Île flottante
2016-09-05;Petits pois
2016-09-07;Fromage vache et brebis
2016-09-13;Yaourt aromatisé
2016-09-16;Lait bio
2016-09-21;Saute de Dinde sauce Vallée D'Auge
2016-09-22;Crème dessert chocolat bio°
2016-09-23;Ratatouille/blé bio
2016-09-26;Lait bio
2016-09-30;Poisson
2016-10-03;Salade verte
2016-10-06;Galettes de légumes
2016-10-06;Tarte aux pommes
2016-10-13;Filet de poisson meunière
2016-10-17;Edam
2016-10-17;Poire
2016-10-21;Riz basmati
2016-10-26;Concombres
2016-10-27;Pommes rissolées
2016-10-27;Clémentines
2016-11-02;Kiwi bio°
2016-11-04;Gouda
2016-11-08;Frites
2016-11-15;Clémentines
2016-11-18;Salade de pâtes Napoli
2016-11-21;Omelette bio
2016-11-22;Marmelade de pomme
2016-11-23;Pizza au fromage
2016-11-25;Carottes râpées bio
2016-11-25;Filet de lieu sauce niçoise
2016-11-30;Sauté de veau*
2016-12-01;Crêpe au fromage
2016-12-02;Salade carnaval (mais, tomates, concombres)
2016-12-09;Galette de soja à l'indienne
2016-12-12;Coulis de fruit ( menus)
2016-12-15;MELANGE DE TROIS RIZ
2016-12-16;Poire
2016-12-20;Sauté de veau*
2016-12-20;Orange
2016-12-21;Mâche au chèvre
2016-12-22;-
2016-12-22;Brie
2016-12-28;Cantal
2016-12-30;Epinards à la crème
2017-01-02;Pique-nique randonneur
2017-01-04;Jambon fumé
2017-01-06;Epinards à la crème
2017-01-09;Haché de poulet*
2017-01-09;Pomme bio°
2017-01-10;Soupe de poisson
2017-01-10;tarte pomme speculoos
2017-01-11;Petits pois
2017-01-16;Pamplemousse
2017-01-16;jus de veau menu
2017-01-19;Gratin de choux fleurs
2017-01-19;Poire
2017-01-23;Pomme bio°
2017-01-24;Riz basmati
2017-01-25;Salade de mâche au thon
2017-01-30;Clémentines
2017-02-01;Salade de pommes de terre
2017-02-01;Saint-Paulin
2017-02-02;Crêpe et confiture Muroise
2017-02-06;Salade de maïs et betteraves
2017-02-06;Poulet fermier d'Ancenis
2017-02-09;Tartiflette aux lardons
2017-02-10;Ratatouille
2017-02-10;MUFFIN'S
2017-02-13;Tarte au fromage
2017-02-17;Salade douceur / demi-oeuf
2017-02-20;Lait bio
2017-02-23;Pomme bio°
2017-02-24;Edam
2017-03-02;Banane
2017-03-07;menu depannage
2017-03-09;Sauté de boeuf* bourguignon
2017-03-15;Compote pomme et framboise
2017-03-16;Salsifis
