Date,autre_proteine,feculent,fruit,laitage,legume,sucrerie,sauce,poisson_fruit_mer,viande_blanche,viande_rouge,bio,industriel
2011-05-27,0.0,0.0,0.3,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.2,0.0
2011-05-30,0.0,0.2333333333333333,0.2,0.26666666666666666,0.2333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2011-06-06,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0
2011-06-07,0.0,0.25,0.125,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.25
2011-06-08,0.0,0.125,0.5,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
2011-06-09,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-06-10,0.0,0.0,0.4,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0
2011-06-14,0.0,0.125,0.125,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25
2011-06-15,0.0,0.2,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-16,0.0,0.0625,0.0625,0.25,0.3125,0.0,0.0,0.0625,0.25,0.0,0.0,0.0
2011-06-17,0.2,0.1,0.0,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.2,0.2
2011-06-20,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-21,0.0,0.375,0.0,0.0,0.25,0.125,0.0,0.0,0.25,0.0,0.0,0.5
2011-06-22,0.0,0.2,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0
2011-06-23,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2011-06-24,0.0,0.1,0.2,0.2,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.2
2011-06-27,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
