index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
3197,2016-02-12,Epinards,0.0,0.0,1.0,0,0,2,epinards,legume,True
3198,2016-02-15,"Salade de lentilles (lentilles, maïs,cornichons)",0.5,0.0,0.5,0,0,2,maïs,feculent,False
3199,2016-02-16,Brocolis,0.0,0.0,1.0,0,0,2,brocoli,legume,False
3200,2016-02-17,Céleri et carottes bio rémoulade,0.0,0.0,1.0,1,0,2,carotte,legume,True
3201,2016-02-18,Chou rouge bio,0.0,0.0,1.0,1,0,2,chou,legume,True
3202,2016-02-18,Pomme vapeur bio Aria,0.0,1.0,0.0,1,0,2,pomme de terre,legume,True
3203,2016-02-22,Salade de mâche,0.0,0.0,1.0,0,0,2,mâche,legume,True
3207,2016-03-01,Carottes râpées bio,0.0,0.0,0.5,1,0,3,carotte,legume,True
3208,2016-03-02,Betteraves,0.0,0.0,1.0,0,0,3,betterave,legume,True
3209,2016-03-07,Endives au surimi et pommes,0.0,0.3333333333333333,0.3333333333333333,0,1,3,endive,legume,True
3210,2016-03-09,Brocolis à la crème,0.0,0.0,1.0,0,0,3,brocoli,legume,False
3212,2016-03-14,Ananas,0.0,1.0,0.0,0,0,3,,,False
3213,2016-03-17,Pomme noisettes,0.0,1.0,0.0,0,0,3,pomme de terre,legume,True
3214,2016-03-21,Fondant au chocolat,0.5,0.0,0.0,0,1,3,,,False
3215,2016-03-29,Chips,1.0,0.0,0.0,0,1,3,,,False
3218,2016-04-01,Courgettes à la tomate,0.0,0.5,0.5,0,0,4,courge,legume,False
3221,2016-04-14,Fromage blanc /fraises,0.0,0.5,0.0,0,0,4,fraise,fruit,False
3222,2016-04-15,Sojasun citron,0.0,1.0,0.0,0,0,4,citron,fruit,True
3223,2016-04-18,PA jeudi avec volaille,0.0,0.0,1.0,0,0,4,ail,legume,True
3224,2016-04-20,Choux rouges bio,0.0,0.0,1.0,1,0,4,chou,legume,False
3225,2016-04-25,Yaourt aux fruits mixés,0.0,0.5,0.0,0,0,4,,,False
3231,2016-05-18,Marmelade de pommes,0.0,1.0,0.0,0,1,5,pomme,fruit,False
3234,2016-06-01,Gaspacho,0.0,0.0,1.0,0,0,6,,,False
3235,2016-06-01,Ananas,0.0,1.0,0.0,0,0,6,,,False
3237,2016-06-07,Rillettes de thon/citron salade,0.0,0.3333333333333333,0.3333333333333333,0,0,6,citron,fruit,True
3240,2016-06-08,Taboulé Tipiak aux légumes frais,0.0,0.0,1.0,0,0,6,,,False
3241,2016-06-08,Fruit de saison,0.0,1.0,0.0,0,0,6,fruit de saison,fruit,True
3242,2016-06-10,Pastèque,0.0,1.0,0.0,0,0,6,pasteque,fruit,False
3244,2016-06-14,salade verte/dés de chèvre,0.0,0.0,0.5,0,0,6,salade verte,legume,True
3245,2016-06-14,Sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,6,tomate,fruit,True
3246,2016-06-14,Pâtes bio,0.5,0.0,0.0,1,0,6,,,False
3248,2016-06-17,Flan de courgettes bio,0.0,0.0,1.0,1,1,6,courge,legume,True
3250,2016-06-20,Haricots verts/ haricots beurre,0.5,0.0,0.5,0,0,6,haricots verts,legume,False
3251,2016-06-22,Ratatouille,0.0,0.0,1.0,0,1,6,,,False
3252,2016-06-27,Gratinée de légumes,0.0,0.0,1.0,0,0,6,,,False
3254,2016-06-30,Crêpe au fromage,0.5,0.0,0.0,0,0,6,,,False
3255,2016-06-30,Nectarine,0.0,1.0,0.0,0,0,6,nectarine,fruit,False
3256,2016-07-08,Salade sombrero,0.0,0.0,1.0,0,0,7,,,False
3257,2016-07-19,Nectarines,0.0,1.0,0.0,0,0,7,nectarine,fruit,True
3260,2016-07-21,Banane,0.0,1.0,0.0,0,0,7,,,False
3264,2016-07-27,Riz,1.0,0.0,0.0,0,0,7,riz,feculent,False
3265,2016-07-28,Sauté de veau à l'orange,0.0,0.5,0.0,0,0,7,orange,fruit,False
3266,2016-07-29,Carottes râpées,0.0,0.0,0.5,0,0,7,carotte,legume,True
3267,2016-08-01,Pâtes à la bolognaise,0.25,0.0,0.25,0,0,8,,,False
3269,2016-08-05,Epinards,0.0,0.0,1.0,0,0,8,epinards,legume,True
3271,2016-08-09,Lentilles bio,0.5,0.0,0.5,1,0,8,,,False
3275,2016-08-23,Compote po/framboise,0.0,1.0,0.0,0,1,8,framboise,fruit,True
3276,2016-08-24,Riz,1.0,0.0,0.0,0,0,8,riz,feculent,False
3277,2016-08-25,Pizza,0.5,0.0,0.5,0,0,8,,,False
3278,2016-08-25,Fruit de saison,0.0,1.0,0.0,0,0,8,fruit de saison,fruit,True
3282,2016-09-06,Pommes rissolées,0.0,0.5,0.0,0,0,9,pomme de terre,legume,True
