Date,Plat,autre protéine,feculent,fruit,laitage,legume,plat préparé,poisson fruit de mer,produit industriel,sauce,sucrerie,viande blanche,viande rouge,status,bio,Wautre protéine,Wfeculent,Wfruit,Wlaitage,Wlegume,Wpoisson fruit de mer,Wsauce,Wsucrerie,Wviande blanche,Wviande rouge,Wbio,Windustriel
2018-07-11,Salade verte au thon,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0,0
2018-07-11,Jambon fumé,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
2018-07-11,Yaourt aux fruits mixés,False,False,True,True,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-18,Gaspacho / croûtons,False,True,False,False,True,True,False,False,False,False,False,False,True,False,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-20,Fraises,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-23,Melon,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-23,Paëlla au poulet,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
2018-07-23,Crème dessert caramel,False,False,False,True,False,False,False,True,False,True,False,False,True,False,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,1
2018-07-25,Pêche,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-26,Petits-pois,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-27,Radis bio,False,False,False,False,True,False,False,False,False,False,False,False,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
2018-08-02,Nectarine,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-08,Fromage Chanteneige,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-14,Tomates cerise,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-16,Oeufs durs à la mayonnaise,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2018-08-16,Carottes râpées,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-16,Edam,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-17,"Salade de riz (riz, maïs, carottes, poivrons)",False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0
